id	name	address
128	Port Colborne, ON	287 West Side Road, Port Colborne, ON, L3K 5L2
140	Milton, ON	1210 Steeles Avenue East, Milton, ON, L9T 6R1
40	Grimsby, ON	44 Livingston Avenue, Grimsby, ON, L3M 1L1
232	St. Stephen, NB	250 King Street, St. Stephen, NB, E3L 2E5
52	Kirkland Lake, ON	146 Government Road West, Kirkland Lake, ON, P2N 2E9
412	Burlington North, ON	2070 Appleby Line, Unit J, Burlington, ON, L7L 6M6
122	Burlington Fairview, ON	777 Guelph Line, Burlington, ON, L7R 3N2
154	Hamilton East, ON	686 Queenston Road, Hamilton, ON, L8G 1A3
129	Hamilton Centre, ON	1283 Barton Street East, Hamilton, ON, L8H 2V4
278	Sudbury North, ON	1485 Lasalle Blvd., Sudbury, ON, P3A 5H7
220	Waterdown, ON	11 Clappison Avenue, Waterdown, ON, L8B 0Y2
45	Hamilton Main, ON	304 Main Street East, Hamilton, ON, L8N 1H9
194	Hamilton Mt.East, ON	2160 Rymal Road East, Hannon, ON, L0R 1P0
445	Sudbury South, ON	2259 Regent Street, Sudbury, ON, P3E 5M9
177	Hamilton Mt.West, ON	777 Upper James Street, Hamilton, ON, L9C 3A1
657	Hanmer, ON	5206 Highway 69 North, Hanmer, ON, P3P 1Z3
27	Dundas, ON	119 Osler Drive, Dundas, ON, L9H 6X4
29	Dunnville, ON	1002 Broad Street East, Dunnville, ON, N1A 2Z2
42	Guelph Stone Rd, ON	127 Stone Road West, Guelph, ON, N1G 5G4
31	Centre Wellington, ON	950 Tower Street South, Fergus, ON, N1M 3N7
260	Guelph North, ON	10 Woodlawn Road East, Guelph, ON, N1H 1G7
639	Ancaster, ON	1060 Wilson Street West, Ancaster, ON, L9G 3K9
77	Owen Sound, ON	1605 - 16th Street East, Owen Sound, ON, N4K 5N3
244	Chelmsford, ON	1 - 3595 Highway 144, Chelmsford, ON, P0M 1L0
49	Caledonia, ON	365 Argyle Street South, Caledonia, ON, N3W 1Z2
168	Cambridge Hespeler, ON	65 Pinebush Road, Cambridge, ON, N1R 8P3
36	Cambridge, ON	75 Dundas Street, Cambridge, ON, N1R 6G5
35	Fredericton, NB	1110 Smythe Street, Fredericton, NB, E3B 3H6
66	Mount Forest, ON	101 Mount Forest Drive, Mount Forest, ON, N0G 2L2
337	Fredericton North, NB	75 Two Nations Crossing, Fredericton, NB, E3A 0T3
139	Kitchener East, ON	1080 Victoria Street North, Kitchener, ON, N2B 3C4
616	Elmira, ON	325 Arthur Street South, Elmira, ON, N3B 3L5
53	Kitchener South, ON	385 Fairway Road South, Kitchener, ON, N2C 2N9
664	Brantford North, ON	30 Lynden Road, Brantford, ON, N3R 8A4
265	Baie-Comeau, QC	650, rue de Parfondeval, Baie-Comeau, QC, G5C 3R3
251	Waterloo, ON	400 Weber Street North, Waterloo, ON, N2J 3J3
420	Kitchener West, ON	1400 Ottawa Street South, Kitchener, ON, N2E 4E2
46	Hanover, ON	896 - 10th Street, Hanover, ON, N4N 3P2
674	Waterloo West, ON	656 Erb Street West, Waterloo, ON, N2T 2Z7
309	Oromocto, NB	345 Miramichi Road, Oromocto, NB, E2V 4T4
43	Paris, ON	300 Grand River Street North, Paris, ON, N3L 3R7
315	Matane, QC	145, rue Piuze, Matane, QC, G4W 0H7
57	Listowel, ON	500 Mitchell Road South, Listowel, ON, N4W 3G7
97	Simcoe, ON	142 Queensway East, Simcoe, ON, N3Y 4Y7
269	Port Elgin, ON	5116 Hwy 21, Port Elgin, ON, N0H 2C0
22	Espanola, ON	801 Centre Street, Espanola, ON, P5E 1N2
16	Atholville, NB	384 Old Val D'Amour Road, Atholville, NB, E3N 4E3
193	Delhi, ON	308 James Street, Delhi, ON, N4B 2B4
124	Woodstock, ON	465 Norwich Avenue, Woodstock, ON, N4S 9A2
103	Stratford, ON	1093 Ontario Street, Stratford, ON, N5A 6W6
349	Saint John Fairville, NB	885 Fairville Blvd., Saint John, NB, E2M 5T9
254	Saint John - Westmorland Road, NB	400 Westmorland Road, Saint John, NB, E2J 2G4
476	Rothesay, NB	160 Hampton Road, Rothesay, NB, E2E 2R3
51	Kincardine, ON	811 Durham Street, Kincardine, ON, N2Z 3B8
48	Ingersoll, ON	98 Mutual Street South, Ingersoll, ON, N5C 1S5
110	Tillsonburg, ON	248 Broadway Street, Tillsonburg, ON, N4G 3R4
91	St. Marys, ON	84 Wellington Street South, St. Marys, ON, N4X 1C3
111	Timmins, ON	2199 Riverside Drive, Timmins, ON, P4R 0A1
24	Cochrane, ON	201 Highway 11 West, Cochrane, ON, P0L 1C0
130	London East, ON	1975 Dundas Street, London, ON, N5V 4Y5
142	Aylmer, ON	605 John Street North, Aylmer, ON, N5H 2B6
39	Goderich, ON	35430 Huron Road, Goderich, ON, N7A 3X8
141	Exeter, ON	100 Thames Road East, Exeter, ON, N0M 1S3
494	London Auto Centre, ON	378 Horton Street East, London, ON, N6B 1L7
58	London South, ON	1125 Wellington Road, London, ON, N6E 1M1
106	Sussex, NB	138 Main Street, Sussex, NB, E4E 3E1
25	Digby, NS	112 Warwick Street, Digby, NS, B0V 1A0
125	Yarmouth, NS	120 Starrs Road, Yarmouth, NS, B5A 4T3
425	London North, ON	1875 Hyde Park Road, London, ON, N6H 0A3
208	London West, ON	3100 Wonderland Road South, London, ON, N6L 1A6
92	St. Thomas, ON	1063 Talbot Street, St. Thomas, ON, N5P 1G4
136	Miramichi, NB	2491 King George Highway, Miramichi, NB, E1V 6W3
11	Bathurst, NB	520 St. Peter Avenue, Bathurst, NB, E2A 2Y7
167	Elliot Lake, ON	50 Hillside Drive South, Elliot Lake, ON, P5A 1M7
104	Strathroy, ON	24614 Adelaide Road, Strathroy, ON, N7G 2P8
32	Forest, ON	84 Union Street, Forest, ON, N0N 1J0
